id	building	address_raw	prefecture	city	address_norm	place_detail	landmark	access	parking	nearby_spots	tags	source_urls	verified_at	confidence
332	ごかつら池 ふるさと村	多気郡多気町五桂992（ごかつら池 ふるさと村）	三重県	多気郡多気町	三重県多気郡多気町五桂992	（ごかつら池 ふるさと村）				nature|camp|tourism		2025-12-27	3
333	鈴の森公園	松阪市外五曲町1（鈴の森公園）	三重県	松阪市	三重県松阪市外五曲町1	（鈴の森公園）				park|tourism		2025-12-27	3
334	アスピア玉城 ふれあいの館	度会郡玉城町原4266（アスピア玉城内）	三重県	度会郡玉城町	三重県度会郡玉城町原4266	アスピア玉城内				facility|family|tourism		2025-12-27	3
335	見江島展望台	度会郡南伊勢町五ヶ所浦3917（見江島展望台）	三重県	度会郡南伊勢町	三重県度会郡南伊勢町五ヶ所浦3917	（見江島展望台）				viewpoint|tourism		2025-12-27	3
384	夢古道おわせ	尾鷲市向井12-4	三重県	尾鷲市	三重県尾鷲市向井12-4				onsen|tourism		2025-12-27	3
385	にぎわいの森	いなべ市北勢町阿下喜31	三重県	いなべ市	三重県いなべ市北勢町阿下喜31				food|market|tourism		2025-12-27	3
386	菰野町福祉公園	三重郡菰野町潤田1250（福祉公園）	三重県	三重郡菰野町	三重県三重郡菰野町潤田1250	福祉公園				park|family		2025-12-27	3
387	山海の郷 紀勢	度会郡大紀町崎2154-1	三重県	度会郡大紀町	三重県度会郡大紀町崎2154-1				roadside|tourism		2025-12-27	3
388	道の駅 紀伊長島マンボウ	北牟婁郡紀北町東長島2410-73（道の駅 紀伊長島マンボウ）	三重県	北牟婁郡紀北町	三重県北牟婁郡紀北町東長島2410-73	（道の駅 紀伊長島マンボウ）				roadside|food|tourism		2025-12-27	3
389	道の駅 パーク七里御浜	南牟婁郡御浜町阿田和4926-5	三重県	南牟婁郡御浜町	三重県南牟婁郡御浜町阿田和4926-5				roadside|seaside|tourism		2025-12-27	3
414	ドルフィン公園	鳥羽市鳥羽1-2383-42（ドルフィン公園）	三重県	鳥羽市	三重県鳥羽市鳥羽1-2383-42	（ドルフィン公園）				seaside|tourism|duplicate_location		2025-12-27	3
